Link,Keyword,Source_File,Category
https://id.jobstreet.com/id/job/85701273?type=standard&ref=search-standalone#sol=f435d9909bf3d97e001fda492735068c2b0932a2,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85659339?type=standard&ref=search-standalone#sol=fbb9c5357315b552031c3e411be19e1da57e0cf6,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85568981?type=standard&ref=search-standalone#sol=970fc106a22441ee1e29106756f6047da79aeec1,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/84958161?type=standard&ref=search-standalone#sol=80bed67c5b915b40059502b89ba102880893d637,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85722993?type=standard&ref=search-standalone#sol=d195fe6ba95df47dff8c0a3937ea3ef88fff196e,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85624395?type=standard&ref=search-standalone#sol=f0d0fdfa3fa495f82752b020f69c01d875bbeed8,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85582096?type=standard&ref=search-standalone#sol=8e2a4b28851102dabb2baf02b84636c23d2e0de5,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/78642233?type=standard&ref=search-standalone#sol=63dc536b66fe672aa047964c7b62f7f0fb9aecac,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85589728?type=standard&ref=search-standalone#sol=a906f1ea6aef7313e7e2f639eb204b108ade76e4,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85693664?type=standard&ref=search-standalone#sol=b1f9239daec14b365924e9e894279382b638ce83,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85682853?type=standard&ref=search-standalone#sol=37e8b275aa121049d0a38878bbd2f43ec21b5055,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85689880?type=standard&ref=search-standalone#sol=e064edd7c1fbf267947e05e46558031da8eaa028,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/78668736?type=standard&ref=search-standalone#sol=2e57879acc41a4df20de6ca3cbc4524ce8cfa123,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85696199?type=standard&ref=search-standalone#sol=9264fb4e32f52332d05591962906537493ad5cf9,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85751018?type=standard&ref=search-standalone#sol=7d1a9a5410944e80526be754d5017e0e4d747bae,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85704691?type=standard&ref=search-standalone#sol=e4ad93b05cd959e1d05ad3b5fb048c13bc8cebfa,Waiter,waiter,F&B & hospitality
https://id.jobstreet.com/id/job/85610082?type=standard&ref=search-standalone#sol=9ea48f3a24dbc0cd483eae16a5c601fc6d5490c9,Waiter,waiter,F&B & hospitality
