Link,Keyword,Source_File,Category
https://id.jobstreet.com/id/job/77381931?type=standard&ref=search-standalone#sol=c660750dadb875397e9e6828e3f68e7c4b11cb83,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/77617718?type=standard&ref=search-standalone#sol=3ff7c176c338e94a908381395466ea9adcd3038d,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/77617861?type=standard&ref=search-standalone#sol=dec3b6098ece67f85a11e6bdb88e6af0d9d27513,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85061017?type=standard&ref=search-standalone#sol=f1bbf6540b6b9dc495447979f4484bcfa159afcc,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/77617665?type=standard&ref=search-standalone#sol=87af33d015feb98664447df2df3943a1e2244e5e,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85246171?type=standard&ref=search-standalone#sol=6f2aad341b5ee3f18c4e94c39c2f8dac1aa4b795,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/84068671?type=standard&ref=search-standalone#sol=737c321839c2f32df3a4aa4fe7272cb35ce0ef62,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85623457?type=standard&ref=search-standalone#sol=539f0c8ffc6eca83795e5f86abbb0fa1391f7baa,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/82848860?type=standard&ref=search-standalone#sol=214de354a135235ed259560a11af8148820dd5bb,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/82058328?type=standard&ref=search-standalone#sol=0ba724ab172554301dbbb1d80005faa6c42b96ca,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/84949581?type=standard&ref=search-standalone#sol=7c67ed78fca5e28f99545f9fdcfbe13b17bcd20f,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85134570?type=standard&ref=search-standalone#sol=43c051106f69485a0e8c1ffcd48652ee61e78c80,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85508998?type=standard&ref=search-standalone#sol=8decf972ea1abe81cfb9110a68a8dfbb834af9a7,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/82699555?type=standard&ref=search-standalone#sol=68ff94ffae016ada11d888706d0e3fba459bf297,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/84941891?type=standard&ref=search-standalone#sol=062522eb6d44f46d1754259211c9f7deeff604f7,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/82728828?type=standard&ref=search-standalone#sol=9880abe157d02d68774bdac6585f14e712391bf1,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85141633?type=standard&ref=search-standalone#sol=06cb62671ab513080ab0cb76fd6ef984651c6107,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85136865?type=standard&ref=search-standalone#sol=c5c50f9c5a83739ae63420458bd3346323f20599,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/81336445?type=standard&ref=search-standalone#sol=6bc4143a43deecfdf08ef8ea758c88ad239fc23f,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85170949?type=standard&ref=search-standalone#sol=046a8194b5f2461f23c6b164edbea5841ee6e49d,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/84006086?type=standard&ref=search-standalone#sol=fee2870c769d83de603ddf1bbd516aef232453e0,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85296375?type=standard&ref=search-standalone#sol=2a1c0343f6dcfaa5e8d3553c7c56816cb93d31d9,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85511289?type=standard&ref=search-standalone#sol=d968ed11e1f3d63fea675025ce23868ff8b4ac44,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/85525530?type=standard&ref=search-standalone#sol=0c09bcf655ea66c58dccb7f7cb85cd5a5143bedc,Teacher,teacher,Education ad Training
https://id.jobstreet.com/id/job/79268481?type=standard&ref=search-standalone#sol=5e4a2357ea9b8f18f054e865c66f7d8f2842fe44,Teacher,teacher,Education ad Training
